,checkpoint,dataset,method,n_shot,accuracy,mask_token
6,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.47,
7,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.42,
10,flan-t5-xl,conceptual_combinations,language_modeling,0,0.44,
11,flan-t5-xl,conceptual_combinations,average_language_modeling,0,0.51,
22,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.51,
23,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.48,
26,flan-t5-xl,conceptual_combinations,language_modeling,0,0.45,
27,flan-t5-xl,conceptual_combinations,average_language_modeling,0,0.51,
38,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.51,
39,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.49,
42,flan-t5-xl,conceptual_combinations,language_modeling,0,0.46,
43,flan-t5-xl,conceptual_combinations,average_language_modeling,0,0.53,
54,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.45,
55,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.4,
58,flan-t5-xl,conceptual_combinations,language_modeling,0,0.44,
59,flan-t5-xl,conceptual_combinations,average_language_modeling,0,0.52,
70,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.5,
71,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.5,
74,flan-t5-xl,conceptual_combinations,language_modeling,0,0.45,
75,flan-t5-xl,conceptual_combinations,average_language_modeling,0,0.52,
374,flan-t5-xl,logical_deduction_five_objects,language_modeling,0,0.52,
375,flan-t5-xl,logical_deduction_five_objects,average_language_modeling,0,0.5,
3,flan-t5-xl,logical_deduction_five_objects,multiple_choice_prompt,0,0.35,
5,flan-t5-xl,conceptual_combinations,multiple_choice_prompt,0,0.62,
11,flan-t5-xl,logical_deduction_five_objects,multiple_choice_prompt,0,0.39,
13,flan-t5-xl,conceptual_combinations,multiple_choice_prompt,0,0.61,
19,flan-t5-xl,logical_deduction_five_objects,multiple_choice_prompt,0,0.43,
21,flan-t5-xl,conceptual_combinations,multiple_choice_prompt,0,0.6,
27,flan-t5-xl,logical_deduction_five_objects,multiple_choice_prompt,0,0.38,
29,flan-t5-xl,conceptual_combinations,multiple_choice_prompt,0,0.58,
35,flan-t5-xl,logical_deduction_five_objects,multiple_choice_prompt,0,0.44,
37,flan-t5-xl,conceptual_combinations,multiple_choice_prompt,0,0.6,
212,flan-t5-xl,conceptual_combinations,multiple_choice_prompt,0,0.59,
0,flan-t5-xl,logical_deduction_five_objects,process_of_elimination,0,0.52,
1,flan-t5-xl,conceptual_combinations,process_of_elimination,0,0.76,
4,flan-t5-xl,logical_deduction_five_objects,process_of_elimination,0,0.54,
5,flan-t5-xl,conceptual_combinations,process_of_elimination,0,0.76,
8,flan-t5-xl,logical_deduction_five_objects,process_of_elimination,0,0.55,
9,flan-t5-xl,conceptual_combinations,process_of_elimination,0,0.76,
12,flan-t5-xl,logical_deduction_five_objects,process_of_elimination,0,0.57,
13,flan-t5-xl,conceptual_combinations,process_of_elimination,0,0.75,
16,flan-t5-xl,logical_deduction_five_objects,process_of_elimination,0,0.62,
17,flan-t5-xl,conceptual_combinations,process_of_elimination,0,0.77,
3,flan-t5-xl,logical_deduction_five_objects,channel,0,0.26,
5,flan-t5-xl,conceptual_combinations,channel,0,0.45,
11,flan-t5-xl,logical_deduction_five_objects,channel,0,0.18,
13,flan-t5-xl,conceptual_combinations,channel,0,0.43,
19,flan-t5-xl,logical_deduction_five_objects,channel,0,0.21,
21,flan-t5-xl,conceptual_combinations,channel,0,0.44,
27,flan-t5-xl,logical_deduction_five_objects,channel,0,0.22,
29,flan-t5-xl,conceptual_combinations,channel,0,0.44,
35,flan-t5-xl,logical_deduction_five_objects,channel,0,0.17,
37,flan-t5-xl,conceptual_combinations,channel,0,0.44,
175,flan-t5-xl,logical_deduction_five_objects,channel,0,0.27,
176,flan-t5-xl,conceptual_combinations,channel,0,0.44,
178,flan-t5-xl,conceptual_combinations,channel,0,0.42,
3,flan-t5-xl,logical_deduction_five_objects,calibration,0,0.39,
5,flan-t5-xl,conceptual_combinations,calibration,0,0.54,
11,flan-t5-xl,logical_deduction_five_objects,calibration,0,0.44,
13,flan-t5-xl,conceptual_combinations,calibration,0,0.55,
19,flan-t5-xl,logical_deduction_five_objects,calibration,0,0.4,
21,flan-t5-xl,conceptual_combinations,calibration,0,0.55,
27,flan-t5-xl,logical_deduction_five_objects,calibration,0,0.33,
29,flan-t5-xl,conceptual_combinations,calibration,0,0.54,
35,flan-t5-xl,logical_deduction_five_objects,calibration,0,0.4,
37,flan-t5-xl,conceptual_combinations,calibration,0,0.54,
184,flan-t5-xl,logical_deduction_five_objects,calibration,0,0.41,
185,flan-t5-xl,conceptual_combinations,calibration,0,0.56,
189,flan-t5-xl,conceptual_combinations,calibration,0,0.55,
