dataset,mask_token,accuracy
anli,[MASK],0.556
anli,[N/A],0.562
anli,[mask],0.558
anli,dasjhasjkdhjskdhds,0.548
anli,empty,0.572
conceptual_combinations,[MASK],0.76
conceptual_combinations,[N/A],0.792
conceptual_combinations,[mask],0.76
conceptual_combinations,dasjhasjkdhjskdhds,0.762
conceptual_combinations,empty,0.79
cqa,[MASK],0.892
cqa,[N/A],0.892
cqa,[mask],0.888
cqa,dasjhasjkdhjskdhds,0.896
cqa,empty,0.868
disambiguation_qa,[MASK],0.678
disambiguation_qa,[N/A],0.682
disambiguation_qa,[mask],0.678
disambiguation_qa,dasjhasjkdhjskdhds,0.668
disambiguation_qa,empty,0.664
logical_deduction_five_objects,[MASK],0.56
logical_deduction_five_objects,[N/A],0.568
logical_deduction_five_objects,[mask],0.554
logical_deduction_five_objects,dasjhasjkdhjskdhds,0.548
logical_deduction_five_objects,empty,0.562
siqa,[MASK],0.82
siqa,[N/A],0.822
siqa,[mask],0.826
siqa,dasjhasjkdhjskdhds,0.816
siqa,empty,0.822
strange_stories,[MASK],0.756
strange_stories,[N/A],0.762
strange_stories,[mask],0.766
strange_stories,dasjhasjkdhjskdhds,0.758
strange_stories,empty,0.786
symbol_interpretation,[MASK],0.234
symbol_interpretation,[N/A],0.22
symbol_interpretation,[mask],0.232
symbol_interpretation,dasjhasjkdhjskdhds,0.214
symbol_interpretation,empty,0.232
